rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,snapshot_date_extracted,arena_elo
1,1.0,Gemini-2.5-Pro-Exp-03-25,1439.0,+6/-5,10389,Google,Proprietary,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro-exp-03-25,2025-04-24,
2,1.0,o3-2025-04-16,1418.0,+14/-9,2211,OpenAI,Proprietary,Unknown,https://openai.com/index/introducing-o3-and-o4-mini/,2025-04-24,
2,3.0,ChatGPT-4o-latest (2025-03-26),1408.0,+6/-5,9229,OpenAI,Proprietary,Unknown,https://x.com/OpenAI/status/1905331956856050135,2025-04-24,
3,5.0,Grok-3-Preview-02-24,1402.0,+4/-5,14840,xAI,Proprietary,Unknown,https://x.ai/blog/grok-3,2025-04-24,
3,5.0,Gemini-2.5-Flash-Preview-04-17,1393.0,+10/-7,4073,Google,Proprietary,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash-preview-04-17,2025-04-24,
4,3.0,GPT-4.5-Preview,1398.0,+4/-5,15285,OpenAI,Proprietary,Unknown,https://openai.com/index/introducing-gpt-4-5/,2025-04-24,
7,13.0,Gemini-2.0-Flash-Thinking-Exp-01-21,1380.0,+4/-4,26903,Google,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-thinking-exp-01-21,2025-04-24,
7,6.0,Gemini-2.0-Pro-Exp-02-05,1380.0,+5/-3,20125,Google,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-pro-exp-02-05,2025-04-24,
7,5.0,DeepSeek-V3-0324,1373.0,+6/-7,6792,DeepSeek,MIT,Unknown,https://api-docs.deepseek.com/news/news250325,2025-04-24,
9,5.0,GPT-4.1-2025-04-14,1363.0,+10/-9,2927,OpenAI,Proprietary,Unknown,https://openai.com/index/gpt-4-1/,2025-04-24,
10,7.0,DeepSeek-R1,1358.0,+5/-4,16857,DeepSeek,MIT,Unknown,https://api-docs.deepseek.com/news/news250120,2025-04-24,
10,17.0,Gemini-2.0-Flash-001,1354.0,+3/-3,23060,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-2.0-flash-001,2025-04-24,
10,5.0,o4-mini-2025-04-16,1351.0,+10/-10,2070,OpenAI,Proprietary,Unknown,https://openai.com/index/introducing-o3-and-o4-mini/,2025-04-24,
12,6.0,o1-2024-12-17,1350.0,+4/-3,29044,OpenAI,Proprietary,Unknown,https://openai.com/index/o1-and-new-tools-for-developers/,2025-04-24,
14,17.0,Gemma-3-27B-it,1342.0,+4/-5,10735,Google,Gemma,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-27b-it,2025-04-24,
14,17.0,Qwen2.5-Max,1340.0,+4/-4,22105,Alibaba,Proprietary,Unknown,https://qwenlm.github.io/blog/qwen2.5-max/,2025-04-24,
15,14.0,o1-preview,1335.0,+2/-3,33172,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1,2025-04-24,
18,17.0,o3-mini-high,1325.0,+4/-4,18934,OpenAI,Proprietary,Unknown,https://platform.openai.com/docs/guides/reasoning#reasoning-effort,2025-04-24,
18,16.0,GPT-4.1-mini-2025-04-14,1322.0,+9/-13,2700,OpenAI,Proprietary,Unknown,https://openai.com/index/gpt-4-1/,2025-04-24,
18,21.0,DeepSeek-V3,1318.0,+4/-4,22828,DeepSeek,DeepSeek,Unknown,https://huggingface.co/deepseek-ai/DeepSeek-V3,2025-04-24,
19,27.0,QwQ-32B,1314.0,+6/-6,8563,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/QwQ-32B,2025-04-24,
19,24.0,Gemini-2.0-Flash-Lite,1311.0,+4/-4,23099,Google,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-lite,2025-04-24,
19,27.0,GLM-4-Plus-0111,1311.0,+8/-6,6024,Zhipu,Proprietary,Unknown,https://bigmodel.cn/dev/howuse/glm-4,2025-04-24,
19,24.0,Qwen-Plus-0125,1310.0,+7/-8,6056,Alibaba,Proprietary,Unknown,https://www.alibabacloud.com/help/en/model-studio/developer-reference/what-is-qwen-llm,2025-04-24,
20,24.0,o3-mini,1305.0,+4/-3,24941,OpenAI,Proprietary,Unknown,https://openai.com/index/openai-o3-mini/,2025-04-24,
20,24.0,Command A (03-2025),1305.0,+6/-6,8521,Cohere,CC-BY-NC-4.0,Unknown,https://cohere.com/blog/command-a,2025-04-24,
20,28.0,Step-2-16K-Exp,1305.0,+7/-6,5125,StepFun,Proprietary,Unknown,https://platform.stepfun.com/docs/llm/text,2025-04-24,
20,23.0,Hunyuan-TurboS-20250226,1302.0,+11/-10,2452,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-04-24,
21,7.0,Claude 3.7 Sonnet (thinking-32k),1301.0,+7/-5,9952,Anthropic,Proprietary,Unknown,https://www.anthropic.com/news/claude-3-7-sonnet,2025-04-24,
23,28.0,o1-mini,1304.0,+3/-3,54961,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1,2025-04-24,
23,31.0,Llama-3.3-Nemotron-Super-49B-v1,1296.0,+10/-8,2368,Nvidia,Nvidia,Unknown,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1,2025-04-24,
24,24.0,Gemini-1.5-Pro-002,1302.0,+2/-2,58652,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-pro-002,2025-04-24,
24,24.0,Hunyuan-Turbo-0110,1295.0,+9/-9,2512,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-04-24,
30,15.0,Claude 3.7 Sonnet,1292.0,+6/-5,15281,Anthropic,Proprietary,Unknown,https://www.anthropic.com/news/claude-3-7-sonnet,2025-04-24,
32,35.0,Grok-2-08-13,1288.0,+2/-2,67096,xAI,Proprietary,2024/3,https://x.ai/blog/grok-2,2025-04-24,
32,37.0,Yi-Lightning,1287.0,+3/-3,28976,01 AI,Proprietary,Unknown,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B%E4%B8%8E%E8%AE%A1%E8%B4%B9,2025-04-24,
33,47.0,Qwen2.5-plus-1127,1282.0,+5/-5,10719,Alibaba,Proprietary,Unknown,https://help.aliyun.com/zh/model-studio/getting-started/models?spm=a2c4g.11186623.0.i7,2025-04-24,
34,25.0,GPT-4o-2024-05-13,1285.0,+2/-2,117751,OpenAI,Proprietary,2023/10,https://openai.com/index/hello-gpt-4o/,2025-04-24,
35,17.0,Claude 3.5 Sonnet (20241022),1283.0,+3/-2,65174,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use,2025-04-24,
36,41.0,Deepseek-v2.5-1210,1279.0,+6/-6,7239,DeepSeek,DeepSeek,Unknown,https://huggingface.co/deepseek-ai/DeepSeek-V2.5-1210,2025-04-24,
38,34.0,GPT-4.1-nano-2025-04-14,1271.0,+12/-9,2787,OpenAI,Proprietary,Unknown,https://openai.com/index/gpt-4-1/,2025-04-24,
39,49.0,Athene-v2-Chat-72B,1275.0,+3/-3,26086,NexusFlow,NexusFlow,Unknown,https://huggingface.co/Nexusflow/Athene-V2-Chat,2025-04-24,
39,35.0,Hunyuan-Large-2025-02-10,1272.0,+9/-8,3855,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-04-24,
