Model_Name,ELO_Score,Provider,License
gemini-2.5-pro,1456,Google,Proprietary
claude-opus-4-1-20250805-thinking-16k,1449,Anthropic,Proprietary
o3-2025-04-16,1442,OpenAI,Proprietary
chatgpt-4o-latest-20250326,1441,OpenAI,Proprietary
gpt-5-high,1441,OpenAI,Proprietary
gpt-4.5-preview-2025-02-27,1441,OpenAI,Proprietary
claude-opus-4-1-20250805,1438,Anthropic,Proprietary
qwen3-max-preview,1430,Alibaba,Proprietary
gpt-5-chat,1430,OpenAI,Proprietary
claude-opus-4-20250514-thinking-16k,1421,Anthropic,Proprietary
grok-4-0709,1420,xAI,Proprietary
qwen3-235b-a22b-instruct-2507,1420,Alibaba,Apache 2.0
AIkimi-k2-0711-preview,1419,Moonshot,Modified MIT
AIkimi-k2-0905-preview,1416,Moonshot,Modified MIT
deepseek-r1-0528,1418,DeepSeek,MIT
deepseek-v3.1,1417,DeepSeek,MIT
deepseek-v3.1-thinking,1415,DeepSeek,MIT
claude-opus-4-20250514,1411,Anthropic,Proprietary
gpt-4.1-2025-04-14,1410,OpenAI,Proprietary
grok-3-preview-02-24,1410,xAI,Proprietary
glm-4.5,1408,Z.ai,MIT
mistral-medium-2508,1407,Mistral,Proprietary
gemini-2.5-flash,1406,Google,Proprietary
qwen3-next-80b-a3b-instruct,1401,Alibaba,Apache 2.0
qwen3-235b-a22b-no-thinking,1401,Alibaba,Apache 2.0
qwen3-235b-a22b-thinking-2507,1399,Alibaba,Apache 2.0
longcat-flash-chat,1395,Meituan,MIT
claude-sonnet-4-20250514-thinking-32k,1399,Anthropic,Proprietary
o1-2024-12-17,1399,OpenAI,Proprietary
deepseek-r1,1394,DeepSeek,MIT
o4-mini-2025-04-16,1393,OpenAI,Proprietary
mai-1-preview,1391,Microsoft AI,Proprietary
deepseek-v3-0324,1390,DeepSeek,MIT
gpt-5-mini-high,1388,OpenAI,Proprietary
hunyuan-t1-20250711,1385,Tencent,Proprietary
claude-sonnet-4-20250514,1386,Anthropic,Proprietary
o1-preview,1385,OpenAI,Proprietary
