Model_Name,ELO_Score,Provider,License,Votes,Input_Price,Output_Price,Context_Length
claude-opus-4-7-thinking,1504.0,Anthropic,Proprietary,7467,5.0,25.0,1000000.0
claude-opus-4-6-thinking,1502.37,Anthropic,Proprietary,22240,5.0,25.0,1000000.0
claude-opus-4-6,1496.77,Anthropic,Proprietary,23704,5.0,25.0,1000000.0
gemini-3.1-pro-preview,1492.85,Google,Proprietary,27941,2.0,12.0,1048576.0
claude-opus-4-7,1492.58,Anthropic,Proprietary,8206,5.0,25.0,1000000.0
muse-spark,1490.52,Meta,Proprietary,9278,,,
gpt-5.5-high,1488.12,OpenAI,Proprietary,4963,5.0,30.0,1050000.0
gemini-3-pro,1485.76,Google,Proprietary,41373,2.0,12.0,1048576.0
grok-4.20-beta1,1479.8,xAI,Proprietary,17253,,,
gpt-5.4-high,1477.32,OpenAI,Proprietary,15705,2.5,15.0,1050000.0
grok-4.20-beta-0309-reasoning,1477.23,xAI,Proprietary,16048,2.0,6.0,2000000.0
gpt-5.2-chat-latest-20260210,1476.81,OpenAI,Proprietary,22155,1.75,14.0,128000.0
grok-4.20-multi-agent-beta-0309,1474.97,xAI,Proprietary,16307,2.0,6.0,2000000.0
ernie-5.1-preview,1474.28,Baidu,Proprietary,4609,,,
gpt-5.5,1474.02,OpenAI,Proprietary,5153,5.0,30.0,1050000.0
gemini-3-flash,1473.6,Google,Proprietary,30800,0.5,3.0,1048576.0
claude-opus-4-5-20251101-thinking-32k,1472.73,Anthropic,Proprietary,37170,5.0,25.0,200000.0
glm-5.1,1470.3,Z.ai,MIT,10949,1.4,4.4,202752.0
grok-4.1-thinking,1468.51,xAI,Proprietary,53794,,,
claude-opus-4-5-20251101,1468.01,Anthropic,Proprietary,53446,5.0,25.0,200000.0
gpt-5.4,1465.52,OpenAI,Proprietary,16407,2.5,15.0,1050000.0
claude-sonnet-4-6,1463.68,Anthropic,Proprietary,15657,3.0,15.0,1000000.0
qwen3.5-max-preview,1463.63,Alibaba,Proprietary,13419,,,
mimo-v2.5-pro,1463.61,Xiaomi,MIT,4901,1.0,3.0,1048576.0
deepseek-v4-pro,1463.3,DeepSeek,MIT,4175,0.435,0.87,1048576.0
gemini-3-flash (thinking-minimal),1462.68,Google,Proprietary,39847,0.5,3.0,1048576.0
kimi-k2.6,1462.1,Moonshot,Modified MIT,6067,0.95,4.0,262144.0
deepseek-v4-pro-thinking,1461.9,DeepSeek,MIT,3816,0.435,0.87,1048576.0
grok-4.1,1460.24,xAI,Proprietary,57733,,,
dola-seed-2.0-pro,1460.21,Bytedance,Proprietary,25123,,,
gpt-5.4-mini-high,1457.16,OpenAI,Proprietary,13394,2.5,15.0,1050000.0
qwen3.6-max-preview,1456.87,Alibaba,Proprietary,3943,1.04,6.24,262144.0
glm-5,1456.67,Z.ai,MIT,19830,1.0,3.2,202800.0
gpt-5.1-high,1454.64,OpenAI,Proprietary,40890,1.25,10.0,400000.0
claude-sonnet-4-5-20250929-thinking-32k,1453.7,Anthropic,Proprietary,65810,3.0,15.0,200000.0
claude-sonnet-4-5-20250929,1452.46,Anthropic,Proprietary,63729,3.0,15.0,200000.0
ernie-5.0-0110,1450.94,Baidu,Proprietary,27567,,,
gemma-4-31b,1450.93,Google,Apache 2.0,5807,0.14,0.4,262144.0
kimi-k2.5-thinking,1449.54,Moonshot,Modified MIT,26016,0.6,3.0,
ernie-5.0-preview-1203,1449.37,Baidu,Proprietary,9766,,,
mimo-v2-pro,1448.76,Xiaomi,Proprietary,13965,1.0,3.0,1048576.0
claude-opus-4-1-20250805-thinking-16k,1448.74,Anthropic,Proprietary,49874,15.0,75.0,200000.0
gpt-5.3-chat-latest,1448.54,OpenAI,Proprietary,20938,1.75,14.0,128000.0
gemini-2.5-pro,1447.58,Google,Proprietary,113385,1.25,10.0,1048576.0
qwen3.5-397b-a17b,1446.96,Alibaba,Apache 2.0,21269,0.39,2.34,262144.0
claude-opus-4-1-20250805,1446.7,Anthropic,Proprietary,77438,15.0,75.0,200000.0
qwen3.6-plus,1446.26,Alibaba,Proprietary,7413,0.325,1.95,1000000.0
gpt-4.5-preview-2025-02-27,1444.24,OpenAI,Proprietary,14547,75.0,150.0,128000.0
